what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.mwe.ui,1.1.0.v201106070424,"org.eclipse.emf.mwe.ui",1332339506057
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1332339506058
stopped,bundle,org.eclipse.papyrus.uml.ui.perspectiveconfiguration,0.8.0.v201106151827,"org.eclipse.papyrus.uml.ui.perspectiveconfiguration",1332339506058
stopped,bundle,org.eclipse.emf.facet.widgets.nattable.workbench,0.1.0.v201106070935,"org.eclipse.emf.facet.widgets.nattable.workbench",1332339506059
stopped,bundle,org.eclipse.emf.facet.widgets.nattable,0.1.0.v201106070935,"org.eclipse.emf.facet.widgets.nattable",1332339506059
stopped,bundle,org.eclipse.papyrus.table.modelexplorer,0.8.0.v201106151827,"org.eclipse.papyrus.table.modelexplorer",1332339506059
stopped,bundle,org.eclipse.papyrus.table.instance,0.8.0.v201106151827,"org.eclipse.papyrus.table.instance",1332339506059
stopped,bundle,org.eclipse.emf.facet.widgets.nattable.instance,0.1.0.v201106070935,"org.eclipse.emf.facet.widgets.nattable.instance",1332339506059
stopped,bundle,org.eclipse.emf.facet.widgets.nattable.tableconfiguration,0.1.0.v201106070935,"org.eclipse.emf.facet.widgets.nattable.tableconfiguration",1332339506059
stopped,bundle,org.eclipse.papyrus.controlmode.umlprofiles,0.8.0.v201106151827,"org.eclipse.papyrus.controlmode.umlprofiles",1332339506060
stopped,bundle,org.eclipse.papyrus.controlmode,0.8.0.v201106151827,"org.eclipse.papyrus.controlmode",1332339506060
stopped,bundle,org.eclipse.papyrus.uml.modelexplorer.widgets,0.8.0.v201106151827,"org.eclipse.papyrus.uml.modelexplorer.widgets",1332339506060
stopped,bundle,org.eclipse.papyrus.modelexplorer.widgets,0.8.0.v201106151827,"org.eclipse.papyrus.modelexplorer.widgets",1332339506060
stopped,bundle,org.eclipse.papyrus.uml.menu,0.8.0.v201106151827,"org.eclipse.papyrus.uml.menu",1332339506060
